feedback_id,user_id,shade_id,Brand,name,Undertone,Skintone,appealing,color,texture,finish,overall_rating,what_would_you_change
F001,U001,001,Barevis,Caramel,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F002,U002,001,Barevis,Caramel,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F003,U003,001,Barevis,Caramel,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F004,U004,001,Barevis,Caramel,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F005,U005,001,Barevis,Caramel,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F006,U006,001,Barevis,Caramel,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F007,U007,001,Barevis,Caramel,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F008,U008,001,Barevis,Caramel,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F009,U009,001,Barevis,Caramel,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F010,U010,001,Barevis,Caramel,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F011,U001,002,Nuea,Peach,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F012,U002,002,Nuea,Peach,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F013,U003,002,Nuea,Peach,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F014,U004,002,Nuea,Peach,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F015,U005,002,Nuea,Peach,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F016,U006,002,Nuea,Peach,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F017,U007,002,Nuea,Peach,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F018,U008,002,Nuea,Peach,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F019,U009,002,Nuea,Peach,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F020,U010,002,Nuea,Peach,Neutral,Light,Not sure,Just right,Too dry,Too matte,4,"Texture, Finish"
F021,U001,003,Ronaa.,Maple,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F022,U002,003,Ronaa.,Maple,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F023,U003,003,Ronaa.,Maple,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F024,U004,003,Ronaa.,Maple,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F025,U005,003,Ronaa.,Maple,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F026,U006,003,Ronaa.,Maple,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F027,U007,003,Ronaa.,Maple,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F028,U008,003,Ronaa.,Maple,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F029,U009,003,Ronaa.,Maple,Olive,Medium,Not sure,Just right,Too thick,Too matte,4,Texture
F030,U010,003,Ronaa.,Maple,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F031,U001,004,Barevis,Berry,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F032,U002,004,Barevis,Berry,Warm,Light,Like it,Too dark,Comfortable,Too matte,4,"Color, Finish"
F033,U003,004,Barevis,Berry,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F034,U004,004,Barevis,Berry,Warm,Medium,Not for me,Too pale,Too thick,Too glossy,2,"Color, Texture, Finish"
F035,U005,004,Barevis,Berry,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F036,U006,004,Barevis,Berry,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F037,U007,004,Barevis,Berry,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F038,U008,004,Barevis,Berry,Cool,Medium,Not sure,Too dark,Comfortable,Just right,3,Color
F039,U009,004,Barevis,Berry,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F040,U010,004,Barevis,Berry,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F041,U001,005,Nuea,Red,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F042,U002,005,Nuea,Red,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F043,U003,005,Nuea,Red,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F044,U004,005,Nuea,Red,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F045,U005,005,Nuea,Red,Cool,Light,Like it,Too dark,Comfortable,Just right,3,Color
F046,U006,005,Nuea,Red,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F047,U007,005,Nuea,Red,Neutral,Deep,Not sure,Too dark,Too thick,Just right,3,"Color, Texture"
F048,U008,005,Nuea,Red,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F049,U009,005,Nuea,Red,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F050,U010,005,Nuea,Red,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F051,U001,006,Ronaa.,Nude Peach,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F052,U002,006,Ronaa.,Nude Peach,Warm,Light,Like it,Too dark,Comfortable,Too glossy,3,"Color, Finish"
F053,U003,006,Ronaa.,Nude Peach,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F054,U004,006,Ronaa.,Nude Peach,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F055,U005,006,Ronaa.,Nude Peach,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F056,U006,006,Ronaa.,Nude Peach,Warm,Medium,Not sure,Just right,Comfortable,Too glossy,5,Finish
F057,U007,006,Ronaa.,Nude Peach,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F058,U008,006,Ronaa.,Nude Peach,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F059,U009,006,Ronaa.,Nude Peach,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F060,U010,006,Ronaa.,Nude Peach,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F061,U001,007,Nuea,Pink Blush,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F062,U002,007,Nuea,Pink Blush,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F063,U003,007,Nuea,Pink Blush,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F064,U004,007,Nuea,Pink Blush,Warm,Medium,Not for me,Too pale,Too sticky,Too matte,2,"Color, Texture, Finish"
F065,U005,007,Nuea,Pink Blush,Cool,Light,Not sure,Just right,Comfortable,Just right,4,
F066,U006,007,Nuea,Pink Blush,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F067,U007,007,Nuea,Pink Blush,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F068,U008,007,Nuea,Pink Blush,Cool,Medium,Not sure,Too pale,Too thick,Just right,3,Color
F069,U009,007,Nuea,Pink Blush,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F070,U010,007,Nuea,Pink Blush,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F071,U001,008,Barevis,Pink Fun,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F072,U002,008,Barevis,Pink Fun,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F073,U003,008,Barevis,Pink Fun,Neutral,Medium,Not sure,Just right,Too thick,Just right,3,Texture
F074,U004,008,Barevis,Pink Fun,Warm,Medium,Not sure,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F075,U005,008,Barevis,Pink Fun,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F076,U006,008,Barevis,Pink Fun,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F077,U007,008,Barevis,Pink Fun,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F078,U008,008,Barevis,Pink Fun,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F079,U009,008,Barevis,Pink Fun,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F080,U010,008,Barevis,Pink Fun,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F081,U001,009,Nuea,Berry Pink,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F082,U002,009,Nuea,Berry Pink,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F083,U003,009,Nuea,Berry Pink,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F084,U004,009,Nuea,Berry Pink,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F085,U005,009,Nuea,Berry Pink,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F086,U006,009,Nuea,Berry Pink,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F087,U007,009,Nuea,Berry Pink,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F088,U008,009,Nuea,Berry Pink,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F089,U009,009,Nuea,Berry Pink,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F090,U010,009,Nuea,Berry Pink,Neutral,Light,Like it,Too dark,Too dry,Too matte,3,"Texture, Finish"
F091,U001,010,Ronaa.,Cherry Berry,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F092,U002,010,Ronaa.,Cherry Berry,Warm,Light,Not sure,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F093,U003,010,Ronaa.,Cherry Berry,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F094,U004,010,Ronaa.,Cherry Berry,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F095,U005,010,Ronaa.,Cherry Berry,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F096,U006,010,Ronaa.,Cherry Berry,Warm,Medium,Love it,Just right,Comfortable,Too matte,4,Finish
F097,U007,010,Ronaa.,Cherry Berry,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F098,U008,010,Ronaa.,Cherry Berry,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F099,U009,010,Ronaa.,Cherry Berry,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F100,U010,010,Ronaa.,Cherry Berry,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F101,U001,011,Barevis,Burnt Terracotta,Olive,Light,Not sure,Just right,Comfortable,Just right,5,
F102,U002,011,Barevis,Burnt Terracotta,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F103,U003,011,Barevis,Burnt Terracotta,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F104,U004,011,Barevis,Burnt Terracotta,Warm,Medium,Not for me,Too dark,Too sticky,Too glossy,2,"Color, Texture, Finish"
F105,U005,011,Barevis,Burnt Terracotta,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F106,U006,011,Barevis,Burnt Terracotta,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F107,U007,011,Barevis,Burnt Terracotta,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F108,U008,011,Barevis,Burnt Terracotta,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F109,U009,011,Barevis,Burnt Terracotta,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F110,U010,011,Barevis,Burnt Terracotta,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
