existing_shade,color_family,existing_attributes,desired_attributes,gap_type,gap_description,opportunity_shade
Shade 2 - Cherry Red (Ronaa.),Pink,Velvet Finish | Cool Undertone | Soft Intensity | Oil (49.9%) | L* (59.1),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 10.0%) | Wax (8.1%) | Target L* (36.5),Undertone Ashy & Finish Shift,Warna Cherry Red terlihat terlalu cool dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Olive.,OPP-SHD-001 (01.0 Cherry Red Rich - Lip Tint)
Shade 27 - Mocca (Barevis),Peach,Glossy Finish | Neutral Undertone | Soft Intensity | Oil (71.6%) | L* (49.7),Matte Finish | Neutral Undertone | High Coverage (Pigment 12.8%) | Wax (7.5%) | Target L* (39.6),Pigmentation Gap,Pigmentasi 4.5% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-002 (05.0 Mocca Velvet - Matte)
Shade 35 - Berry (Barevis),Mauve,Glossy Finish | Warm Undertone | Deep Intensity | Oil (55.3%) | L* (52.7),Matte Finish | Warm Undertone | High Coverage (Pigment 13.9%) | Wax (10.9%) | Target L* (68.1),Undertone Ashy & Finish Shift,Warna Berry terlihat terlalu warm dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Warm.,OPP-SHD-003 (02.5 Berry Plus - Matte)
Shade 30 - Warm Honey (Nuea),Brown,Balm Finish | Neutral Undertone | Soft Intensity | Oil (58.0%) | L* (72.8),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 8.0%) | Wax (9.7%) | Target L* (66.7),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-004 (04.5 Warm Honey Satin - Lip Tint)
Shade 15 - Soft Mauve (Nuea),Peach,Velvet Finish | Warm Undertone | Soft Intensity | Oil (73.8%) | L* (42.3),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 13.3%) | Wax (9.0%) | Target L* (67.8),Finish & Longevity Preference,Tekstur velvet mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi lip tint yang lebih awet.,OPP-SHD-005 (04.5 Soft Mauve Intense - Lip Tint)
Shade 16 - Cherry Red (Nuea),Orange,Satin Finish | Neutral Undertone | Deep Intensity | Oil (65.5%) | L* (47.7),Matte Finish | Olive Undertone | High Coverage (Pigment 7.2%) | Wax (11.3%) | Target L* (72.8),Pigmentation Gap,Pigmentasi 4.4% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-006 (02.5 Cherry Red Satin - Matte)
Shade 25 - Chai (Ronaa.),Pink,Satin Finish | Olive Undertone | Deep Intensity | Oil (53.8%) | L* (63.8),Glasting Finish | Neutral Undertone | High Coverage (Pigment 9.6%) | Wax (9.2%) | Target L* (40.6),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-007 (06.5 Chai Velvet - Glasting)
Shade 33 - Blush (Ronaa.),Orange,Glasting Finish | Neutral Undertone | Deep Intensity | Oil (62.8%) | L* (45.7),Glasting Finish | Warm Undertone | High Coverage (Pigment 13.4%) | Wax (7.1%) | Target L* (51.2),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-008 (03.0 Blush Intense - Glasting)
Shade 37 - Maple (Barevis),Red,Glasting Finish | Olive Undertone | Soft Intensity | Oil (79.2%) | L* (63.1),Lip Tint Finish | Cool Undertone | High Coverage (Pigment 13.7%) | Wax (10.0%) | Target L* (61.4),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-009 (05.0 Maple Intense - Lip Tint)
Shade 26 - Soft Mauve (Ronaa.),Brown,Lip Tint Finish | Neutral Undertone | Medium Intensity | Oil (76.5%) | L* (42.2),Glasting Finish | Cool Undertone | High Coverage (Pigment 11.0%) | Wax (7.4%) | Target L* (46.0),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-010 (02.5 Soft Mauve Plus - Glasting)
Shade 5 - Plum Kiss (Barevis),Berry,Matte Finish | Neutral Undertone | Deep Intensity | Oil (62.0%) | L* (70.9),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 7.5%) | Wax (11.0%) | Target L* (74.2),Finish & Longevity Preference,Tekstur matte mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi lip tint yang lebih awet.,OPP-SHD-011 (01.0 Plum Kiss Satin - Lip Tint)
