sample_id,source_row_id,image_file,skin_tone,undertone,pigmentasi_bibir,catatan,confidence,quality_flag,label_status,is_synthetic,source_url
1,4,images/sample_001_row_004.jpg,fair,neutral,high,Warna bibir merah pekat dan sangat kontras; kemungkinan warna kosmetik/stylized.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
2,19,images/sample_002_row_019.jpg,fair,cool,medium,Warna bibir merah muda cukup merata dengan kontras sedang terhadap kulit.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
3,23,images/sample_003_row_023.jpg,fair,neutral,medium_high,"Gambar grayscale; kontras bibir-kulit terlihat jelas, tetapi hue warna tidak dapat dinilai.",medium,limited_color,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
4,50,images/sample_004_row_050.jpg,fair,warm,medium,Warna bibir nude-pink lembut dan cukup merata; kemungkinan ada warna kosmetik.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
5,53,images/sample_005_row_053.jpg,fair,warm,medium_high,Warna bibir nude-brown hangat dengan kontras cukup jelas; kemungkinan warna kosmetik.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
6,27,images/sample_006_row_027.jpg,light,neutral,medium,Warna bibir pink muda cukup merata dengan kontras sedang.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
7,37,images/sample_007_row_037.jpg,light,cool,medium_high,Warna bibir pink lebih pekat; bibir atas tampak sedikit lebih gelap.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
8,41,images/sample_008_row_041.jpg,light,cool,medium_high,Warna bibir muted brown-pink dengan kontras cukup tinggi terhadap kulit.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
9,55,images/sample_009_row_055.jpg,light,neutral,medium,Warna bibir pink sedang; bibir atas sedikit lebih gelap daripada bibir bawah.,high,usable,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
10,90,images/sample_010_row_090.jpg,light,warm,medium,"Area bibir terlihat, tetapi wajah relatif kecil sehingga detail warna terbatas.",medium,small_face,vision_pseudo_label,True,https://huggingface.co/datasets/lihicarmeli/fashion-stylist-multimodal
